OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,25,30,-1,1,0.978151
L,wcharm,central,4,0.0,2.5,30,50,-1,1,0.986666
L,wcharm,central,4,0.0,2.5,50,70,-1,1,0.98394
L,wcharm,central,4,0.0,2.5,70,100,-1,1,0.987786
L,wcharm,central,4,0.0,2.5,100,130,-1,1,0.974224
L,wcharm,central,4,0.0,2.5,130,160,-1,1,0.993954
L,wcharm,central,4,0.0,2.5,160,250,-1,1,0.973654
L,wcharm,down,4,0.0,2.5,25,30,-1,1,0.957407
L,wcharm,down,4,0.0,2.5,30,50,-1,1,0.974337
L,wcharm,down,4,0.0,2.5,50,70,-1,1,0.9648220000000001
L,wcharm,down,4,0.0,2.5,70,100,-1,1,0.9600920000000001
L,wcharm,down,4,0.0,2.5,100,130,-1,1,0.9208149999999999
L,wcharm,down,4,0.0,2.5,130,160,-1,1,0.89197
L,wcharm,down,4,0.0,2.5,160,250,-1,1,0.8349300000000001
L,wcharm,up,4,0.0,2.5,25,30,-1,1,0.998895
L,wcharm,up,4,0.0,2.5,30,50,-1,1,0.9989950000000001
L,wcharm,up,4,0.0,2.5,50,70,-1,1,1.003058
L,wcharm,up,4,0.0,2.5,70,100,-1,1,1.0154800000000002
L,wcharm,up,4,0.0,2.5,100,130,-1,1,1.027633
L,wcharm,up,4,0.0,2.5,130,160,-1,1,1.095938
L,wcharm,up,4,0.0,2.5,160,250,-1,1,1.112378
M,wcharm,central,4,0.0,2.5,25,30,-1,1,0.89131
M,wcharm,central,4,0.0,2.5,30,50,-1,1,0.916599
M,wcharm,central,4,0.0,2.5,50,70,-1,1,0.962608
M,wcharm,central,4,0.0,2.5,70,100,-1,1,0.965577
M,wcharm,central,4,0.0,2.5,100,130,-1,1,0.922099
M,wcharm,central,4,0.0,2.5,130,160,-1,1,0.970015
M,wcharm,central,4,0.0,2.5,160,250,-1,1,0.981882
M,wcharm,down,4,0.0,2.5,25,30,-1,1,0.8627790000000001
M,wcharm,down,4,0.0,2.5,30,50,-1,1,0.8941460000000001
M,wcharm,down,4,0.0,2.5,50,70,-1,1,0.932841
M,wcharm,down,4,0.0,2.5,70,100,-1,1,0.9323710000000001
M,wcharm,down,4,0.0,2.5,100,130,-1,1,0.867011
M,wcharm,down,4,0.0,2.5,130,160,-1,1,0.8629239999999999
M,wcharm,down,4,0.0,2.5,160,250,-1,1,0.832047
M,wcharm,up,4,0.0,2.5,25,30,-1,1,0.919841
M,wcharm,up,4,0.0,2.5,30,50,-1,1,0.939052
M,wcharm,up,4,0.0,2.5,50,70,-1,1,0.992375
M,wcharm,up,4,0.0,2.5,70,100,-1,1,0.998783
M,wcharm,up,4,0.0,2.5,100,130,-1,1,0.977187
M,wcharm,up,4,0.0,2.5,130,160,-1,1,1.077106
M,wcharm,up,4,0.0,2.5,160,250,-1,1,1.131717
T,wcharm,central,4,0.0,2.5,25,30,-1,1,0.809352
T,wcharm,central,4,0.0,2.5,30,50,-1,1,0.868261
T,wcharm,central,4,0.0,2.5,50,70,-1,1,0.903347
T,wcharm,central,4,0.0,2.5,70,100,-1,1,0.899803
T,wcharm,central,4,0.0,2.5,100,130,-1,1,0.903664
T,wcharm,central,4,0.0,2.5,130,160,-1,1,0.837919
T,wcharm,central,4,0.0,2.5,160,250,-1,1,0.968878
T,wcharm,down,4,0.0,2.5,25,30,-1,1,0.782322
T,wcharm,down,4,0.0,2.5,30,50,-1,1,0.839982
T,wcharm,down,4,0.0,2.5,50,70,-1,1,0.8680680000000001
T,wcharm,down,4,0.0,2.5,70,100,-1,1,0.862338
T,wcharm,down,4,0.0,2.5,100,130,-1,1,0.841515
T,wcharm,down,4,0.0,2.5,130,160,-1,1,0.740733
T,wcharm,down,4,0.0,2.5,160,250,-1,1,0.805088
T,wcharm,up,4,0.0,2.5,25,30,-1,1,0.836382
T,wcharm,up,4,0.0,2.5,30,50,-1,1,0.8965399999999999
T,wcharm,up,4,0.0,2.5,50,70,-1,1,0.938626
T,wcharm,up,4,0.0,2.5,70,100,-1,1,0.937268
T,wcharm,up,4,0.0,2.5,100,130,-1,1,0.965813
T,wcharm,up,4,0.0,2.5,130,160,-1,1,0.935105
T,wcharm,up,4,0.0,2.5,160,250,-1,1,1.132668
L,wcharm,central,5,0.0,2.5,25,30,-1,1,0.978151
L,wcharm,central,5,0.0,2.5,30,50,-1,1,0.986666
L,wcharm,central,5,0.0,2.5,50,70,-1,1,0.98394
L,wcharm,central,5,0.0,2.5,70,100,-1,1,0.987786
L,wcharm,central,5,0.0,2.5,100,130,-1,1,0.974224
L,wcharm,central,5,0.0,2.5,130,160,-1,1,0.993954
L,wcharm,central,5,0.0,2.5,160,250,-1,1,0.973654
L,wcharm,down,5,0.0,2.5,25,30,-1,1,0.936663
L,wcharm,down,5,0.0,2.5,30,50,-1,1,0.9620080000000001
L,wcharm,down,5,0.0,2.5,50,70,-1,1,0.945704
L,wcharm,down,5,0.0,2.5,70,100,-1,1,0.9323980000000001
L,wcharm,down,5,0.0,2.5,100,130,-1,1,0.867406
L,wcharm,down,5,0.0,2.5,130,160,-1,1,0.789986
L,wcharm,down,5,0.0,2.5,160,250,-1,1,0.6962060000000001
L,wcharm,up,5,0.0,2.5,25,30,-1,1,1.019639
L,wcharm,up,5,0.0,2.5,30,50,-1,1,1.0113240000000001
L,wcharm,up,5,0.0,2.5,50,70,-1,1,1.022176
L,wcharm,up,5,0.0,2.5,70,100,-1,1,1.043174
L,wcharm,up,5,0.0,2.5,100,130,-1,1,1.081042
L,wcharm,up,5,0.0,2.5,130,160,-1,1,1.197922
L,wcharm,up,5,0.0,2.5,160,250,-1,1,1.251102
M,wcharm,central,5,0.0,2.5,25,30,-1,1,0.89131
M,wcharm,central,5,0.0,2.5,30,50,-1,1,0.916599
M,wcharm,central,5,0.0,2.5,50,70,-1,1,0.962608
M,wcharm,central,5,0.0,2.5,70,100,-1,1,0.965577
M,wcharm,central,5,0.0,2.5,100,130,-1,1,0.922099
M,wcharm,central,5,0.0,2.5,130,160,-1,1,0.970015
M,wcharm,central,5,0.0,2.5,160,250,-1,1,0.981882
M,wcharm,down,5,0.0,2.5,25,30,-1,1,0.8342480000000001
M,wcharm,down,5,0.0,2.5,30,50,-1,1,0.871693
M,wcharm,down,5,0.0,2.5,50,70,-1,1,0.903074
M,wcharm,down,5,0.0,2.5,70,100,-1,1,0.899165
M,wcharm,down,5,0.0,2.5,100,130,-1,1,0.811923
M,wcharm,down,5,0.0,2.5,130,160,-1,1,0.755833
M,wcharm,down,5,0.0,2.5,160,250,-1,1,0.682212
M,wcharm,up,5,0.0,2.5,25,30,-1,1,0.948372
M,wcharm,up,5,0.0,2.5,30,50,-1,1,0.961505
M,wcharm,up,5,0.0,2.5,50,70,-1,1,1.022142
M,wcharm,up,5,0.0,2.5,70,100,-1,1,1.031989
M,wcharm,up,5,0.0,2.5,100,130,-1,1,1.032275
M,wcharm,up,5,0.0,2.5,130,160,-1,1,1.184197
M,wcharm,up,5,0.0,2.5,160,250,-1,1,1.281552
T,wcharm,central,5,0.0,2.5,25,30,-1,1,0.809352
T,wcharm,central,5,0.0,2.5,30,50,-1,1,0.868261
T,wcharm,central,5,0.0,2.5,50,70,-1,1,0.903347
T,wcharm,central,5,0.0,2.5,70,100,-1,1,0.899803
T,wcharm,central,5,0.0,2.5,100,130,-1,1,0.903664
T,wcharm,central,5,0.0,2.5,130,160,-1,1,0.837919
T,wcharm,central,5,0.0,2.5,160,250,-1,1,0.968878
T,wcharm,down,5,0.0,2.5,25,30,-1,1,0.755292
T,wcharm,down,5,0.0,2.5,30,50,-1,1,0.811703
T,wcharm,down,5,0.0,2.5,50,70,-1,1,0.832789
T,wcharm,down,5,0.0,2.5,70,100,-1,1,0.824873
T,wcharm,down,5,0.0,2.5,100,130,-1,1,0.779366
T,wcharm,down,5,0.0,2.5,130,160,-1,1,0.643547
T,wcharm,down,5,0.0,2.5,160,250,-1,1,0.641298
T,wcharm,up,5,0.0,2.5,25,30,-1,1,0.863412
T,wcharm,up,5,0.0,2.5,30,50,-1,1,0.924819
T,wcharm,up,5,0.0,2.5,50,70,-1,1,0.973905
T,wcharm,up,5,0.0,2.5,70,100,-1,1,0.9747330000000001
T,wcharm,up,5,0.0,2.5,100,130,-1,1,1.027962
T,wcharm,up,5,0.0,2.5,130,160,-1,1,1.0322909999999998
T,wcharm,up,5,0.0,2.5,160,250,-1,1,1.2964579999999999
L,incl,central,0,0.0,2.5,20,1000,0,1,0.984264+20.7174/x+655.942/(x*x)+-1836.05/((x--6.48183)*(x--6.48183)) 
L,incl,down,0,0.0,2.5,20,1000,0,1,(0.984264+20.7174/x+655.942/(x*x)+-1836.05/((x- -6.48183)*(x- -6.48183)))*(1-(0.0294368+-1.24747e-06*x+8.89448e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(0.984264+20.7174/x+655.942/(x*x)+-1836.05/((x- -6.48183)*(x- -6.48183)))*(1-(0.0287045+-1.25459e-06*x+8.85119e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.984264+20.7174/x+655.942/(x*x)+-1836.05/((x- -6.48183)*(x- -6.48183)))*(1-(0.00650995)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(0.984264+20.7174/x+655.942/(x*x)+-1836.05/((x- -6.48183)*(x- -6.48183)))*(1+(0.0294368+-1.24747e-06*x+8.89448e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(0.984264+20.7174/x+655.942/(x*x)+-1836.05/((x- -6.48183)*(x- -6.48183)))*(1+(0.0287045+-1.25459e-06*x+8.85119e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(0.984264+20.7174/x+655.942/(x*x)+-1836.05/((x- -6.48183)*(x- -6.48183)))*(1+(0.00650995)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.37855+-0.000549131*x+3.05376e-07*x*x+-3.76747/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(1.37855+-0.000549131*x+3.05376e-07*x*x+-3.76747/x)*(1-(0.0884298+-4.15153e-07*x+-1.21458e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.37855+-0.000549131*x+3.05376e-07*x*x+-3.76747/x)*(1-(0.085786+-1.78205e-07*x+-1.27466e-08*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.37855+-0.000549131*x+3.05376e-07*x*x+-3.76747/x)*(1-(0.0213008)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(1.37855+-0.000549131*x+3.05376e-07*x*x+-3.76747/x)*(1+(0.0884298+-4.15153e-07*x+-1.21458e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.37855+-0.000549131*x+3.05376e-07*x*x+-3.76747/x)*(1+(0.085786+-1.78205e-07*x+-1.27466e-08*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.37855+-0.000549131*x+3.05376e-07*x*x+-3.76747/x)*(1+(0.0213008)) 
T,incl,central,0,0.0,2.5,20,1000,0,1,1.37717+-0.00107803*x+7.1253e-07*x*x+-8.46103/x 
T,incl,down,0,0.0,2.5,20,1000,0,1,(1.37717+-0.00107803*x+7.1253e-07*x*x+-8.46103/x)*(1-(0.165593+6.43651e-05*x+-1.04852e-07*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.37717+-0.00107803*x+7.1253e-07*x*x+-8.46103/x)*(1-(0.160776+6.66959e-05*x+-1.08107e-07*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.37717+-0.00107803*x+7.1253e-07*x*x+-8.46103/x)*(1-(0.0393656)) 
T,incl,up,0,0.0,2.5,20,1000,0,1,(1.37717+-0.00107803*x+7.1253e-07*x*x+-8.46103/x)*(1+(0.165593+6.43651e-05*x+-1.04852e-07*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.37717+-0.00107803*x+7.1253e-07*x*x+-8.46103/x)*(1+(0.160776+6.66959e-05*x+-1.08107e-07*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.37717+-0.00107803*x+7.1253e-07*x*x+-8.46103/x)*(1+(0.0393656)) 
